gene_name	gene_id	chr_hg38	start_hg38	end_hg38	strand_hg38	tss_hg38	chr_hg19	tss_hg19
USP13	ENSG00000058056	3	179652755	179789401	+	179652755	chr3	179370543
PEX5L	ENSG00000114757	3	179794958	180037053	-	180037053	chr3	179754841
AC007687.1	ENSG00000270178	3	179804063	179804366	+	179804063	chr3	179521851
PEX5L-AS1	ENSG00000243799	3	179875376	179881609	+	179875376	chr3	179593164
PEX5L-AS2	ENSG00000244302	3	179898229	179921895	+	179898229	chr3	179616017
RNA5SP149	ENSG00000201822	3	180161886	180161977	-	180161977	chr3	179879765
AC134503.1	ENSG00000282327	3	180201159	180201212	+	180201159	chr3	179918947
GAPDHP36	ENSG00000213158	3	180212191	180213108	+	180212191	chr3	179929979
AC068760.1	ENSG00000239880	3	180323107	180325059	+	180323107	chr3	180040895
LINC02053	ENSG00000241696	3	180414174	180422506	+	180414174	chr3	180131962
U8	ENSG00000201810	3	180542701	180542836	+	180542701	chr3	180260489
AC125618.1	ENSG00000239774	3	180566718	180601935	-	180601935	chr3	180319723
RNU6-486P	ENSG00000199986	3	180581057	180581163	+	180581057	chr3	180298845
AC068298.1	ENSG00000241946	3	180589887	180590047	-	180590047	chr3	180307835
TTC14	ENSG00000163728	3	180602130	180617828	+	180602130	chr3	180319918
CCDC39	ENSG00000145075	3	180602858	180871005	-	180871005	chr3	180588793
CCDC39-AS1	ENSG00000243187	3	180680084	180700449	+	180680084	chr3	180397872
RN7SL229P	ENSG00000242811	3	180736405	180736703	-	180736703	chr3	180454491
AC108734.3	ENSG00000242068	3	180772750	180773914	-	180773914	chr3	180491702
AC108734.2	ENSG00000241473	3	180820544	180821612	+	180820544	chr3	180538332
FLYWCH1P1	ENSG00000239516	3	180827977	180829850	-	180829850	chr3	180547638
FXR1	ENSG00000114416	3	180868141	180982753	+	180868141	chr3	180585929
AC108734.1	ENSG00000213157	3	180887677	180888075	-	180888075	chr3	180605863
DNAJC19	ENSG00000205981	3	180983709	180989774	-	180989774	chr3	180707562
SOX2-OT	ENSG00000242808	3	180989770	181836880	+	180989770	chr3	180707558
AC083904.1	ENSG00000242140	3	181146233	181146463	+	181146233	chr3	180864021
RNU6-4P	ENSG00000206932	3	181231737	181231843	+	181231737	chr3	180949525
FAUP2	ENSG00000237806	3	181242345	181242901	-	181242901	chr3	180960689
AC022294.1	ENSG00000241231	3	181421058	181442486	-	181442486	chr3	181160274
RPL7AP25	ENSG00000235294	3	181505075	181505879	-	181505879	chr3	181223667
AC125613.1	ENSG00000239381	3	181534177	181700611	-	181700611	chr3	181418399
SOX2OT_exon1	ENSG00000276074	3	181610498	181610729	+	181610498	chr3	181328286
SOX2OT_exon3	ENSG00000276690	3	181699608	181699883	+	181699608	chr3	181417396
SOX2	ENSG00000181449	3	181711924	181714436	+	181711924	chr3	181429712
SOX2OT_exon4	ENSG00000278026	3	181715185	181715293	+	181715185	chr3	181432973
RN7SL703P	ENSG00000266317	3	181813401	181813702	+	181813401	chr3	181531189
RNA5SP150	ENSG00000199839	3	181822872	181822990	-	181822990	chr3	181540778
AC007547.2	ENSG00000239805	3	181847526	181847885	-	181847885	chr3	181565673
AC007547.1	ENSG00000213155	3	181866351	181867154	-	181867154	chr3	181584942
LINC01206	ENSG00000242512	3	181952343	182010678	+	181952343	chr3	181670131
RN7SKP265	ENSG00000252257	3	181968459	181968681	+	181968459	chr3	181686247
AC012081.1	ENSG00000240478	3	182121884	182142137	+	182121884	chr3	181839672
AC084211.1	ENSG00000242012	3	182365147	182368256	+	182365147	chr3	182082935
LINC01994	ENSG00000241098	3	182446970	182486364	-	182486364	chr3	182204152
EIF4EP3	ENSG00000244199	3	182460417	182461072	-	182461072	chr3	182178860
LINC01995	ENSG00000244247	3	182498264	182507124	-	182507124	chr3	182224912
RPL7L1P8	ENSG00000228766	3	182610674	182611414	+	182610674	chr3	182328462
LINC02031	ENSG00000238837	3	182644214	182655880	+	182644214	chr3	182362002
AC083801.1	ENSG00000243378	3	182691928	182692285	+	182691928	chr3	182409716
AC083801.2	ENSG00000260377	3	182739669	182740848	-	182740848	chr3	182458636
AC069431.1	ENSG00000240063	3	182783236	182793394	-	182793394	chr3	182511182
ATP11B	ENSG00000058063	3	182793500	182921635	+	182793500	chr3	182511288
AC069431.2	ENSG00000270554	3	182843521	182844619	-	182844619	chr3	182562407
AC092953.2	ENSG00000273261	3	182921240	182921938	-	182921938	chr3	182639726
DCUN1D1	ENSG00000043093	3	182938074	182985953	-	182985953	chr3	182703741
AC092953.1	ENSG00000244346	3	182950783	182956307	-	182956307	chr3	182674095
MCCC1	ENSG00000078070	3	183015218	183116075	-	183116075	chr3	182833863
MCCC1-AS1	ENSG00000243368	3	183016255	183017808	+	183016255	chr3	182734043
LAMP3	ENSG00000078081	3	183122213	183163839	-	183163839	chr3	182881627
MCF2L2	ENSG00000053524	3	183178043	183428778	-	183428778	chr3	183146566
B3GNT5	ENSG00000176597	3	183253244	183298504	+	183253244	chr3	182971032
RNA5SP151	ENSG00000202502	3	183258300	183258416	-	183258416	chr3	182976204
LINC00888	ENSG00000240024	3	183447608	183456013	+	183447608	chr3	183165396
SNORA63D	ENSG00000201229	3	183451857	183451988	+	183451857	chr3	183169645
SNORA81	ENSG00000253092	3	183452567	183452764	+	183452567	chr3	183170355
SNORA63	ENSG00000199363	3	183453814	183453944	+	183453814	chr3	183171602
SNORA4	ENSG00000251730	3	183454128	183454262	+	183454128	chr3	183171916
AC092960.1	ENSG00000271682	3	183462851	183463201	-	183463201	chr3	183180989
KLHL6	ENSG00000172578	3	183487531	183555689	-	183555689	chr3	183273477
KLHL6-AS1	ENSG00000242522	3	183548735	183552326	+	183548735	chr3	183266523
AC068769.1	ENSG00000243584	3	183613620	183616742	+	183613620	chr3	183331408
KLHL24	ENSG00000114796	3	183635568	183684477	+	183635568	chr3	183353356
YEATS2	ENSG00000163872	3	183697818	183812625	+	183697818	chr3	183415606
YEATS2-AS1	ENSG00000233885	3	183806457	183810783	-	183810783	chr3	183528571
AC131160.1	ENSG00000283765	3	183815568	183884889	-	183884889	chr3	183602677
MAP6D1	ENSG00000180834	3	183815876	183825594	-	183825594	chr3	183543382
PARL	ENSG00000175193	3	183829271	183884933	-	183884933	chr3	183602721
RPSAP31	ENSG00000234371	3	183884924	183888449	+	183884924	chr3	183602712
MIR4448	ENSG00000263932	3	183886800	183886885	+	183886800	chr3	183604588
CYP2AB1P	ENSG00000233441	3	183895900	183910936	-	183910936	chr3	183628724
ABCC5	ENSG00000114770	3	183919934	184018015	-	184018015	chr3	183735803
ABCC5-AS1	ENSG00000223882	3	184006338	184011419	+	184006338	chr3	183724126
EEF1A1P8	ENSG00000223529	3	184026369	184027756	-	184027756	chr3	183745544
HTR3D	ENSG00000186090	3	184031544	184039369	+	184031544	chr3	183749332
HTR3C	ENSG00000178084	3	184053047	184060671	+	184053047	chr3	183770835
AC131235.2	ENSG00000233576	3	184076779	184084219	+	184076779	chr3	183794567
Y_RNA	ENSG00000207351	3	184086791	184086903	-	184086903	chr3	183804691
HTR3E-AS1	ENSG00000238020	3	184095118	184105178	-	184105178	chr3	183822966
HTR3E	ENSG00000186038	3	184097064	184106995	+	184097064	chr3	183814852
HSP90AA5P	ENSG00000205955	3	184115352	184117898	+	184115352	chr3	183833140
AC131235.4	ENSG00000273181	3	184132942	184133561	-	184133561	chr3	183851349
AC131235.3	ENSG00000272721	3	184134019	184135238	-	184135238	chr3	183853026
EIF2B5	ENSG00000145191	3	184135038	184145311	+	184135038	chr3	183852826
AC131235.1	ENSG00000228205	3	184149704	184150435	+	184149704	chr3	183867492
DVL3	ENSG00000161202	3	184155388	184173610	+	184155388	chr3	183873176
AP2M1	ENSG00000161203	3	184174689	184184091	+	184174689	chr3	183892477
ABCF3	ENSG00000161204	3	184186023	184194012	+	184186023	chr3	183903811
VWA5B2	ENSG00000145198	3	184230429	184242329	+	184230429	chr3	183948217
MIR1224	ENSG00000221120	3	184241405	184241489	+	184241405	chr3	183959193
ALG3	ENSG00000214160	3	184242301	184249548	-	184249548	chr3	183967336
ECE2	ENSG00000145194	3	184249650	184293031	+	184249650	chr3	183967438
CAMK2N2	ENSG00000163888	3	184259213	184261463	-	184261463	chr3	183979251
PSMD2	ENSG00000175166	3	184298709	184309054	+	184298709	chr3	184016497
EIF4G1	ENSG00000114867	3	184314495	184335358	+	184314495	chr3	184032283
SNORD66	ENSG00000212158	3	184325696	184325771	+	184325696	chr3	184043484
FAM131A	ENSG00000175182	3	184335926	184348421	+	184335926	chr3	184053714
CLCN2	ENSG00000114859	3	184346185	184361651	-	184361651	chr3	184079439
POLR2H	ENSG00000163882	3	184361718	184368596	+	184361718	chr3	184079506
THPO	ENSG00000090534	3	184371935	184378144	-	184378144	chr3	184095932
CHRD	ENSG00000090539	3	184380073	184390736	+	184380073	chr3	184097861
LINC02054	ENSG00000224153	3	184401537	184439648	+	184401537	chr3	184119325
AC128714.1	ENSG00000283625	3	184499484	184500370	-	184500370	chr3	184218158
LINC01839	ENSG00000227509	3	184505113	184508399	+	184505113	chr3	184222901
LINC01840	ENSG00000230215	3	184546714	184556918	-	184556918	chr3	184274706
EPHB3	ENSG00000182580	3	184561784	184582409	+	184561784	chr3	184279572
MAGEF1	ENSG00000177383	3	184710367	184712002	-	184712002	chr3	184429790
AC107294.2	ENSG00000272970	3	184734075	184738949	+	184734075	chr3	184451863
AC107294.3	ENSG00000273403	3	184741937	184742462	+	184741937	chr3	184459725
AC107294.1	ENSG00000272922	3	184742818	184743284	+	184742818	chr3	184460606
LINC02069	ENSG00000229433	3	184756389	184773155	-	184773155	chr3	184490943
VPS8	ENSG00000156931	3	184812143	185052614	+	184812143	chr3	184529931
C3orf70	ENSG00000187068	3	185078050	185153014	-	185153014	chr3	184870802
EHHADH-AS1	ENSG00000223358	3	185162871	185191955	+	185162871	chr3	184880659
EHHADH	ENSG00000113790	3	185190624	185281990	-	185281990	chr3	184999778
EIF2S2P2	ENSG00000229704	3	185245460	185246441	-	185246441	chr3	184964229
MIR5588	ENSG00000264614	3	185253210	185253272	-	185253272	chr3	184971060
MAP3K13	ENSG00000073803	3	185282941	185489097	+	185282941	chr3	185000729
RPL4P4	ENSG00000229638	3	185417495	185418778	-	185418778	chr3	185136566
TMEM41A	ENSG00000163900	3	185476496	185499057	-	185499057	chr3	185216845
LIPH	ENSG00000163898	3	185506262	185552613	-	185552613	chr3	185270401
SENP2	ENSG00000163904	3	185582496	185633551	+	185582496	chr3	185300284
AC133473.1	ENSG00000236489	3	185606575	185606873	+	185606575	chr3	185324363
IGF2BP2	ENSG00000073792	3	185643739	185825056	-	185825056	chr3	185542844
IGF2BP2-AS1	ENSG00000163915	3	185712528	185729787	+	185712528	chr3	185430316
MIR548AQ	ENSG00000265470	3	185767847	185767904	-	185767904	chr3	185485692
TRA2B	ENSG00000136527	3	185915906	185938136	-	185938136	chr3	185655924
NMRAL2P	ENSG00000171658	3	185959943	185980872	+	185959943	chr3	185677732
ETV5	ENSG00000244405	3	186046308	186110318	-	186110318	chr3	185828107
Metazoa_SRP	ENSG00000277118	3	186076306	186076591	-	186076591	chr3	185794380
ETV5-AS1	ENSG00000234197	3	186079170	186080947	+	186079170	chr3	185796959
DGKG	ENSG00000058866	3	186105668	186362237	-	186362237	chr3	186080026
LINC02020	ENSG00000234548	3	186440345	186450696	+	186440345	chr3	186158134
LINC02052	ENSG00000224406	3	186454982	186493661	-	186493661	chr3	186211450
LINC02051	ENSG00000226859	3	186476727	186478370	+	186476727	chr3	186194516
CRYGS	ENSG00000213139	3	186538441	186546702	-	186546702	chr3	186264491
TBCCD1	ENSG00000113838	3	186546073	186570543	-	186570543	chr3	186288332
DNAJB11	ENSG00000090520	3	186567403	186585800	+	186567403	chr3	186285192
AC068631.1	ENSG00000197099	3	186579476	186772986	-	186772986	chr3	186490775
AC068631.2	ENSG00000283149	3	186581995	186597103	+	186581995	chr3	186299784
AC068631.3	ENSG00000283390	3	186596976	186597200	+	186596976	chr3	186314765
AHSG	ENSG00000145192	3	186612923	186621318	+	186612923	chr3	186330712
Metazoa_SRP	ENSG00000275696	3	186629936	186630211	-	186630211	chr3	186348000
FETUB	ENSG00000090512	3	186635969	186653141	+	186635969	chr3	186353758
HRG	ENSG00000113905	3	186660216	186678240	+	186660216	chr3	186378005
AC109780.1	ENSG00000225175	3	186687329	186692506	+	186687329	chr3	186405118
AC109780.2	ENSG00000226724	3	186698520	186708574	+	186698520	chr3	186416309
KNG1	ENSG00000113889	3	186717276	186743954	+	186717276	chr3	186435065
PSMD10P2	ENSG00000226652	3	186760693	186762050	+	186760693	chr3	186478482
RNU6-1105P	ENSG00000207505	3	186771841	186771947	-	186771947	chr3	186489736
GPS2P2	ENSG00000230951	3	186772589	186773476	+	186772589	chr3	186490378
AC112907.3	ENSG00000263826	3	186781780	186784179	-	186784179	chr3	186501968
EIF4A2	ENSG00000156976	3	186783205	186789900	+	186783205	chr3	186500994
SNORD2	ENSG00000238942	3	186784796	186784864	+	186784796	chr3	186502585
SNORA63	ENSG00000200418	3	186786323	186786445	+	186786323	chr3	186504112
MIR1248	ENSG00000283958	3	186786672	186786777	+	186786672	chr3	186504461
SNORA81	ENSG00000221420	3	186786675	186786852	+	186786675	chr3	186504464
SNORA63	ENSG00000200320	3	186787300	186787431	+	186787300	chr3	186505089
SNORA4	ENSG00000263776	3	186787612	186787749	+	186787612	chr3	186505401
RFC4	ENSG00000163918	3	186789880	186807058	-	186807058	chr3	186524847
AC112907.1	ENSG00000231724	3	186807692	186818121	+	186807692	chr3	186525481
LINC02043	ENSG00000232233	3	186810880	186825521	-	186825521	chr3	186543310
AC112907.2	ENSG00000231982	3	186826549	186827337	+	186826549	chr3	186544338
ADIPOQ	ENSG00000181092	3	186842690	186858463	+	186842690	chr3	186560479
ADIPOQ-AS1	ENSG00000226482	3	186851886	186856123	-	186856123	chr3	186573912
RPS20P14	ENSG00000223803	3	186900198	186900557	+	186900198	chr3	186617987
AC007690.1	ENSG00000233565	3	186922286	186922753	-	186922753	chr3	186640542
ST6GAL1	ENSG00000073849	3	186930485	187078553	+	186930485	chr3	186648274
RPL39L	ENSG00000163923	3	187120948	187180908	-	187180908	chr3	186898696
AC007920.1	ENSG00000198491	3	187197090	187207629	-	187207629	chr3	186925417
RTP1	ENSG00000175077	3	187197486	187201465	+	187197486	chr3	186915274
MASP1	ENSG00000127241	3	187217285	187292022	-	187292022	chr3	187009810
AC007920.2	ENSG00000283175	3	187291272	187297933	+	187291272	chr3	187009060
RTP4	ENSG00000136514	3	187368332	187372076	+	187368332	chr3	187086120
AC068299.1	ENSG00000280270	3	187383101	187384849	+	187383101	chr3	187100889
snoU13	ENSG00000239093	3	187423315	187423419	+	187423315	chr3	187141103
LINC02041	ENSG00000228952	3	187448845	187449450	+	187448845	chr3	187166633
SST	ENSG00000157005	3	187668906	187670399	-	187670399	chr3	187388187
RTP2	ENSG00000198471	3	187698259	187702557	-	187702557	chr3	187420345
AC072022.1	ENSG00000228804	3	187702313	187733849	+	187702313	chr3	187420101
BCL6	ENSG00000113916	3	187721377	187745727	-	187745727	chr3	187463515
BCL6-AS1	ENSG00000223401	3	187743686	187746028	+	187743686	chr3	187461474
AC108681.1	ENSG00000224049	3	187796187	187805258	+	187796187	chr3	187513975
AC068295.1	ENSG00000236864	3	187932764	187946221	-	187946221	chr3	187664009
LINC01991	ENSG00000224187	3	187958775	187976407	-	187976407	chr3	187694195
AC092941.1	ENSG00000225058	3	187997422	188003990	-	188003990	chr3	187721778
AC092941.2	ENSG00000236412	3	188001700	188003406	-	188003406	chr3	187721194
AC022498.1	ENSG00000234238	3	188107096	188147020	+	188107096	chr3	187824884
LPP-AS2	ENSG00000270959	3	188151206	188154057	-	188154057	chr3	187871845
LPP	ENSG00000145012	3	188153284	188890671	+	188153284	chr3	187871072
FLJ42393	ENSG00000279891	3	188178543	188180812	+	188178543	chr3	187896331
LPP-AS1	ENSG00000224563	3	188562238	188568666	-	188568666	chr3	188286454
MIR28	ENSG00000207651	3	188688781	188688866	+	188688781	chr3	188406569
TPRG1-AS1	ENSG00000234076	3	188941715	188947639	-	188947639	chr3	188665428
TPRG1	ENSG00000188001	3	188947214	189325304	+	188947214	chr3	188665003
AC009319.1	ENSG00000236182	3	188989382	188990135	-	188990135	chr3	188707924
TPRG1-AS2	ENSG00000230115	3	189238686	189240594	-	189240594	chr3	188958383
TP63	ENSG00000073282	3	189631416	189897279	+	189631416	chr3	189349205
AC078809.1	ENSG00000227971	3	189645327	189645466	-	189645466	chr3	189363255
MIR944	ENSG00000216058	3	189829922	189830009	+	189829922	chr3	189547711
P3H2	ENSG00000090530	3	189956728	190122437	-	190122437	chr3	189840226
MTAPP2	ENSG00000230077	3	189969030	189969861	-	189969861	chr3	189687650
P3H2-AS1	ENSG00000225764	3	190120964	190144846	+	190120964	chr3	189838753
RNU6-1109P	ENSG00000212489	3	190165417	190165523	-	190165523	chr3	189883312
NMNAT1P3	ENSG00000238077	3	190166764	190167651	+	190166764	chr3	189884553
CLDN1	ENSG00000163347	3	190305701	190322475	-	190322475	chr3	190040264
CLDN16	ENSG00000113946	3	190322541	190412143	+	190322541	chr3	190040330
TMEM207	ENSG00000198398	3	190428655	190449876	-	190449876	chr3	190167665
IL1RAP	ENSG00000196083	3	190514051	190659750	+	190514051	chr3	190231840
GCNT1P3	ENSG00000231047	3	190624595	190625169	+	190624595	chr3	190342384
RN7SKP296	ENSG00000223117	3	190642163	190642503	+	190642163	chr3	190359952
AC108747.1	ENSG00000273370	3	190659216	190659750	+	190659216	chr3	190377005
LINC02013	ENSG00000228730	3	190697923	190698848	-	190698848	chr3	190416637
CCT6P4	ENSG00000232610	3	190714811	190716399	+	190714811	chr3	190432600
AC092952.1	ENSG00000214147	3	190830965	190832173	+	190830965	chr3	190548754
GMNC	ENSG00000205835	3	190852877	190892429	-	190892429	chr3	190610218
OSTN	ENSG00000188729	3	191199241	191265615	+	191199241	chr3	190917030
OSTN-AS1	ENSG00000233308	3	191213291	191234605	-	191234605	chr3	190952394
UTS2B	ENSG00000188958	3	191267168	191330536	-	191330536	chr3	191048325
CCDC50	ENSG00000152492	3	191329077	191398670	+	191329077	chr3	191046866
AC073365.1	ENSG00000223812	3	191425526	191591097	+	191425526	chr3	191143315
PYDC2	ENSG00000253548	3	191461163	191461456	+	191461163	chr3	191178952
Y_RNA	ENSG00000201860	3	191641135	191641237	+	191641135	chr3	191358924
AC026320.2	ENSG00000237653	3	191952349	191952826	-	191952826	chr3	191670615
AC026320.1	ENSG00000232353	3	192029880	192036557	+	192029880	chr3	191747669
RN7SKP222	ENSG00000222583	3	192093122	192093436	+	192093122	chr3	191810911
FGF12	ENSG00000114279	3	192139395	192767764	-	192767764	chr3	192485553
FGF12-AS1	ENSG00000231383	3	192238037	192283097	+	192238037	chr3	191955826
FGF12-AS2	ENSG00000230126	3	192515022	192516573	+	192515022	chr3	192232811
FGF12-AS3	ENSG00000226709	3	192516831	192521398	+	192516831	chr3	192234620
snoU13	ENSG00000238902	3	192534009	192534112	-	192534112	chr3	192251901
RNU1-20P	ENSG00000200184	3	192729555	192729716	-	192729716	chr3	192447505
MB21D2	ENSG00000180611	3	192796815	192918161	-	192918161	chr3	192635950
AC092966.1	ENSG00000232130	3	193144464	193176864	-	193176864	chr3	192894653
VEZF1P1	ENSG00000236229	3	193155456	193157208	-	193157208	chr3	192874997
HRASLS	ENSG00000127252	3	193241125	193277738	+	193241125	chr3	192958914
ATP13A5	ENSG00000187527	3	193274790	193378843	-	193378843	chr3	193096632
ATP13A5-AS1	ENSG00000236508	3	193307244	193314362	+	193307244	chr3	193025033
ATP13A4	ENSG00000127249	3	193402077	193593111	-	193593111	chr3	193310900
ATP13A4-AS1	ENSG00000225473	3	193553213	193555088	+	193553213	chr3	193271002
AC048351.1	ENSG00000236297	3	193578812	193593090	-	193593090	chr3	193310879
OPA1	ENSG00000198836	3	193593144	193697823	+	193593144	chr3	193310933
OPA1-AS1	ENSG00000224855	3	193618609	193627337	-	193627337	chr3	193345126
Y_RNA	ENSG00000207370	3	193624189	193624301	+	193624189	chr3	193341978
RN7SL447P	ENSG00000243991	3	193740471	193740715	-	193740715	chr3	193458504
AC069421.1	ENSG00000223986	3	193765681	193766003	+	193765681	chr3	193483470
LINC02038	ENSG00000229155	3	193842560	193844024	-	193844024	chr3	193561813
LINC02026	ENSG00000214146	3	193957372	194003659	-	194003659	chr3	193721448
AC024559.1	ENSG00000238043	3	193980614	194006098	+	193980614	chr3	193698403
DPPA2P3	ENSG00000224403	3	193993331	193993985	-	193993985	chr3	193711774
LINC02028	ENSG00000230102	3	194005259	194070970	-	194070970	chr3	193788759
AC024559.2	ENSG00000276407	3	194070103	194080443	+	194070103	chr3	193787892
AC080129.1	ENSG00000229964	3	194091561	194109174	+	194091561	chr3	193809350
AC080129.2	ENSG00000232874	3	194130616	194131201	-	194131201	chr3	193848990
HES1	ENSG00000114315	3	194136145	194138732	+	194136145	chr3	193853934
RN7SL215P	ENSG00000242201	3	194145674	194145971	+	194145674	chr3	193863463
LINC02036	ENSG00000225742	3	194203016	194250153	-	194250153	chr3	193967942
LINC02037	ENSG00000238097	3	194247648	194257772	+	194247648	chr3	193965437
LINC02048	ENSG00000228271	3	194276682	194287368	+	194276682	chr3	193994471
LINC00887	ENSG00000214145	3	194296465	194312803	-	194312803	chr3	194030592
CPN2	ENSG00000178772	3	194339765	194351328	-	194351328	chr3	194072057
LRRC15	ENSG00000172061	3	194355247	194369743	-	194369743	chr3	194090472
GP5	ENSG00000178732	3	194394821	194398354	-	194398354	chr3	194119083
ATP13A3	ENSG00000133657	3	194402672	194498364	-	194498364	chr3	194219093
AC108676.2	ENSG00000271483	3	194471923	194472085	+	194471923	chr3	194192652
LINC00884	ENSG00000233058	3	194487454	194518279	+	194487454	chr3	194208183
AC108676.1	ENSG00000244675	3	194496317	194501503	-	194501503	chr3	194222232
RNU6-1101P	ENSG00000252053	3	194533503	194533583	-	194533583	chr3	194254312
RPL23AP93	ENSG00000232873	3	194562978	194564001	-	194564001	chr3	194284730
TMEM44-AS1	ENSG00000231770	3	194584011	194590260	+	194584011	chr3	194304740
TMEM44	ENSG00000145014	3	194587673	194633689	-	194633689	chr3	194354418
AC046143.1	ENSG00000229334	3	194632923	194645401	+	194632923	chr3	194353652
AC046143.2	ENSG00000272707	3	194637505	194637664	-	194637664	chr3	194358393
LSG1	ENSG00000041802	3	194640788	194672477	-	194672477	chr3	194393206
FAM43A	ENSG00000185112	3	194686544	194689037	+	194686544	chr3	194407273
AC106706.1	ENSG00000233987	3	194705548	194706964	+	194705548	chr3	194426277
LINC01968	ENSG00000237222	3	194708421	194782168	+	194708421	chr3	194429150
AC090505.1	ENSG00000234805	3	194755589	194757422	+	194755589	chr3	194476318
LINC01972	ENSG00000230401	3	194765238	194768712	-	194768712	chr3	194489441
AC090505.2	ENSG00000238031	3	194827890	194832592	+	194827890	chr3	194548619
XXYLT1	ENSG00000173950	3	195068279	195271167	-	195271167	chr3	194991896
XXYLT1-AS1	ENSG00000233303	3	195094588	195096057	+	195094588	chr3	194815317
MIR3137	ENSG00000265333	3	195134506	195134580	-	195134580	chr3	194855309
RN7SL36P	ENSG00000244314	3	195146728	195147003	-	195147003	chr3	194867732
XXYLT1-AS2	ENSG00000230266	3	195147871	195152790	+	195147871	chr3	194868600
RNU6-25P	ENSG00000206600	3	195214787	195214893	+	195214787	chr3	194935516
ACAP2	ENSG00000114331	3	195274736	195443078	-	195443078	chr3	195163807
ACAP2-IT1	ENSG00000229325	3	195280723	195282741	-	195282741	chr3	195003470
AC090018.1	ENSG00000227433	3	195349664	195350030	+	195349664	chr3	195070393
Y_RNA	ENSG00000207368	3	195419436	195419546	-	195419546	chr3	195140275
PPP1R2	ENSG00000184203	3	195514425	195543386	-	195543386	chr3	195270209
RNU6ATAC24P	ENSG00000252620	3	195523087	195523221	-	195523221	chr3	195250019
AC069213.1	ENSG00000223711	3	195544048	195550581	+	195544048	chr3	195270871
RN7SL73P	ENSG00000265882	3	195553792	195554043	+	195553792	chr3	195280610
AC069213.3	ENSG00000236844	3	195554610	195555083	+	195554610	chr3	195281428
AC069213.2	ENSG00000236425	3	195561215	195561580	-	195561580	chr3	195288450
APOD	ENSG00000189058	3	195568702	195584205	-	195584205	chr3	195311076
MUC20P1	ENSG00000224769	3	195614947	195620233	+	195614947	chr3	195341818
AC233280.19	ENSG00000282206	3	195635188	195636301	+	195635188	chr3	195362059
AC233280.2	ENSG00000271662	3	195650146	195651472	-	195651472	chr3	195378343
AC233280.1	ENSG00000229178	3	195655565	195657927	-	195657927	chr3	195384798
LINC00969	ENSG00000242086	3	195658062	195739964	+	195658062	chr3	195384933
SDHAP2	ENSG00000215837	3	195658096	195685904	+	195658096	chr3	195384967
MIR570	ENSG00000207650	3	195699401	195699497	+	195699401	chr3	195426272
AC233280.20	ENSG00000283426	3	195701618	195711643	+	195701618	chr3	195428489
MUC20	ENSG00000176945	3	195720882	195741123	+	195720882	chr3	195447753
MUC4	ENSG00000145113	3	195746765	195812277	-	195812277	chr3	195539148
LINC01983	ENSG00000223783	3	195836193	195860404	-	195860404	chr3	195587275
KIF3AP1	ENSG00000235836	3	195843986	195844596	+	195843986	chr3	195570857
TNK2	ENSG00000061938	3	195863364	195911945	-	195911945	chr3	195638816
MIR6829	ENSG00000276489	3	195882329	195882395	-	195882395	chr3	195609266
TNK2-AS1	ENSG00000224614	3	195908076	195911257	+	195908076	chr3	195634947
AC124944.1	ENSG00000226155	3	195912049	195913986	+	195912049	chr3	195638920
AC124944.3	ENSG00000260261	3	195913078	195954485	-	195954485	chr3	195681356
RNU2-11P	ENSG00000239122	3	195928589	195928775	-	195928775	chr3	195655646
AC124944.2	ENSG00000231443	3	195937243	195938739	+	195937243	chr3	195664114
SDHAP1	ENSG00000185485	3	195959748	195990318	-	195990318	chr3	195717189
AC024937.2	ENSG00000231464	3	195996738	195998233	+	195996738	chr3	195723609
TFRC	ENSG00000072274	3	196027183	196082189	-	196082189	chr3	195809060
AC024937.1	ENSG00000228413	3	196044695	196045254	+	196044695	chr3	195771566
RNU7-18P	ENSG00000252174	3	196072819	196072880	+	196072819	chr3	195799690
LINC00885	ENSG00000224652	3	196142636	196160890	+	196142636	chr3	195869507
ZDHHC19	ENSG00000163958	3	196197449	196211437	-	196211437	chr3	195938308
Y_RNA	ENSG00000222335	3	196202349	196202453	+	196202349	chr3	195929220
SLC51A	ENSG00000163959	3	196211487	196243178	+	196211487	chr3	195938358
PCYT1A	ENSG00000161217	3	196214222	196287957	-	196287957	chr3	196014828
AC069257.3	ENSG00000272741	3	196248230	196318222	-	196318222	chr3	196045093
AC069257.1	ENSG00000228028	3	196250542	196251654	+	196250542	chr3	195977413
TCTEX1D2	ENSG00000213123	3	196291219	196318299	-	196318299	chr3	196045170
AC069257.2	ENSG00000237418	3	196298061	196298215	-	196298215	chr3	196025086
TM4SF19-TCTEX1D2	ENSG00000273331	3	196316082	196338373	-	196338373	chr3	196065244
TM4SF19-AS1	ENSG00000235897	3	196318330	196325570	+	196318330	chr3	196045201
TM4SF19	ENSG00000145107	3	196319342	196338503	-	196338503	chr3	196065374
RNU6-910P	ENSG00000212146	3	196341609	196341715	-	196341715	chr3	196068586
UBXN7	ENSG00000163960	3	196347662	196432474	-	196432474	chr3	196159345
RNU6-1279P	ENSG00000206644	3	196393710	196393812	-	196393812	chr3	196120683
RN7SL434P	ENSG00000241868	3	196397508	196397778	-	196397778	chr3	196124649
RN7SL738P	ENSG00000243339	3	196399911	196400207	+	196399911	chr3	196126782
AC083822.1	ENSG00000226345	3	196423322	196423522	+	196423322	chr3	196150193
