	mean gene expression	Enf prediction, Reference, fine-tuned
ENSG00000158985	6.459643	4.243964
ENSG00000158987	4.273189	4.347967
ENSG00000217128	4.568624	4.877131
ENSG00000164398	6.729919	5.061590
ENSG00000072682	3.316742	4.281076
ENSG00000131435	3.152630	4.886682
ENSG00000197375	3.641830	4.547326
ENSG00000197536	2.648044	4.552505
ENSG00000125347	2.215356	4.028800
ENSG00000113522	5.181938	4.832521
ENSG00000131437	6.573678	6.309016
ENSG00000164402	7.834845	4.137899
ENSG00000198944	6.363507	6.215609
ENSG00000164403	4.309506	4.361745
ENSG00000164405	5.882254	6.170602
ENSG00000072364	5.993742	6.106258
ENSG00000155329	3.271244	4.409257
ENSG00000170606	6.613817	6.521073
ENSG00000053108	4.206023	5.792345
ENSG00000113583	4.281003	5.065586
ENSG00000213585	7.626807	6.622680
ENSG00000113558	8.490166	7.459003
ENSG00000113575	7.609507	7.054616
ENSG00000006837	2.325547	5.559998
ENSG00000119048	6.051046	5.839335
ENSG00000237190	4.671692	5.483191
ENSG00000043143	5.628286	5.449534
ENSG00000152700	5.606468	4.642174
ENSG00000113615	3.386471	5.054569
ENSG00000164615	5.898497	4.741201
ENSG00000145833	4.932996	4.796545
ENSG00000181904	5.477484	5.151750
ENSG00000113621	5.529038	6.047125
ENSG00000132570	2.295276	3.782256
ENSG00000247627	3.411470	5.129092
ENSG00000113648	6.168984	4.565459
ENSG00000270021	2.381136	5.150551
ENSG00000145824	6.490109	3.434725
ENSG00000145832	3.200349	4.035306
ENSG00000120708	2.190425	3.255926
ENSG00000113658	4.432517	5.052378
ENSG00000271824	2.000658	3.352657
ENSG00000152377	7.721039	4.560907
ENSG00000146021	4.905489	4.684971
ENSG00000177733	6.380277	5.981308
ENSG00000031003	5.323094	4.542790
ENSG00000112981	3.780154	4.176535
ENSG00000112983	5.834418	3.349735
ENSG00000094880	4.175068	4.002011
ENSG00000120709	5.517419	2.720615
ENSG00000120733	5.873737	4.897539
ENSG00000132563	7.459924	6.725432
ENSG00000120738	5.804281	4.790833
ENSG00000120705	5.836714	5.901638
ENSG00000113013	7.804320	6.099107
ENSG00000044115	7.150067	5.065215
ENSG00000146006	4.992756	6.515529
ENSG00000120725	3.623889	7.554545
ENSG00000015479	4.190248	7.969045
ENSG00000120727	6.007060	5.442997
ENSG00000228672	2.457780	3.506631
ENSG00000170464	5.681312	4.454949
ENSG00000184584	2.541320	3.610070
ENSG00000131508	6.296109	3.716388
ENSG00000171604	6.540980	4.509629
ENSG00000146005	6.907246	5.581538
ENSG00000158458	2.703384	5.055381
ENSG00000185129	5.042233	5.627063
ENSG00000182700	6.309872	4.598077
ENSG00000120306	5.384405	6.077380
ENSG00000113068	5.978180	5.128344
ENSG00000113070	3.355742	4.104071
ENSG00000131503	5.670999	5.206650
ENSG00000213523	4.806890	4.538641
ENSG00000243056	2.660651	3.293957
ENSG00000113108	5.159374	4.659566
ENSG00000176087	5.278288	4.602112
ENSG00000170458	3.209581	3.639221
ENSG00000131495	4.932941	5.620086
ENSG00000113119	2.444577	3.687895
ENSG00000113141	6.141936	4.565130
ENSG00000120314	3.894024	4.124746
ENSG00000170445	6.431075	5.058756
ENSG00000112855	4.588490	5.026903
ENSG00000146007	6.493043	4.463362
ENSG00000243232	2.551256	4.628225
ENSG00000081818	3.214578	2.841088
ENSG00000113209	2.170758	2.553974
ENSG00000113211	2.139359	2.268561
ENSG00000120324	2.601999	2.906114
ENSG00000120327	3.525311	2.776155
ENSG00000113248	2.447795	1.715728
ENSG00000178913	6.307380	4.002852
ENSG00000081853	2.036891	2.907001
ENSG00000254245	2.314023	3.201723
ENSG00000253910	2.010859	2.919975
ENSG00000261934	2.291555	2.712553
ENSG00000254122	2.504110	3.458398
ENSG00000253159	2.633214	3.072609
ENSG00000240184	5.470720	5.161906
ENSG00000242419	2.486845	4.974759
ENSG00000240764	3.867722	6.227829
ENSG00000131504	5.642783	4.913941
ENSG00000171720	4.692403	5.580927
ENSG00000164620	4.237176	5.520163
ENSG00000197948	3.100761	2.839559
ENSG00000120318	3.734374	3.661828
ENSG00000156453	5.443046	6.621507
ENSG00000081791	5.648097	4.915781
ENSG00000113555	2.637005	4.774246
ENSG00000013561	5.787339	4.007377
ENSG00000113552	5.178662	4.537893
ENSG00000131507	8.306460	7.763348
ENSG00000280047	2.523125	4.208632
ENSG00000187678	4.902467	5.836692
ENSG00000113578	7.019682	5.612863
ENSG00000145819	6.508565	5.982923
ENSG00000113580	5.636340	3.499884
ENSG00000145817	4.365817	4.928847
ENSG00000183775	5.324577	4.912498
ENSG00000156463	2.179200	3.916244
ENSG00000133706	6.155242	4.722032
ENSG00000091009	4.079796	5.044374
ENSG00000113649	5.759080	5.383099
ENSG00000156475	7.298456	4.690888
ENSG00000169302	2.925925	3.610588
ENSG00000113657	6.769271	2.863889
ENSG00000176049	5.277531	5.115831
ENSG00000145868	4.425730	4.387767
ENSG00000169247	2.510681	5.049543
ENSG00000173210	5.365148	5.391102
ENSG00000157510	2.181123	2.751050
ENSG00000164284	3.792646	4.631743
ENSG00000145882	4.432196	5.045035
ENSG00000249669	3.051356	5.344592
ENSG00000113712	6.928859	6.491759
ENSG00000183111	4.675785	5.440918
ENSG00000155846	3.671548	4.755241
ENSG00000155850	2.787761	3.445199
ENSG00000113716	5.187115	4.889405
ENSG00000182578	3.938126	5.009616
ENSG00000113721	5.780388	5.221439
ENSG00000011083	5.890627	6.056206
ENSG00000070808	10.384313	5.843835
ENSG00000070814	5.382245	4.402606
ENSG00000019582	6.196563	5.181244
ENSG00000164587	7.788445	5.994086
ENSG00000070614	6.606458	6.114256
ENSG00000171992	8.394465	4.599836
ENSG00000164591	2.128511	4.305886
ENSG00000086589	4.945422	4.938064
ENSG00000132912	6.124836	6.161822
ENSG00000256235	3.423486	4.232703
ENSG00000211445	6.104751	4.755605
ENSG00000145901	5.579758	4.255996
ENSG00000197043	7.775645	7.209552
ENSG00000198624	3.727418	3.628372
ENSG00000196743	5.187702	3.703125
ENSG00000123643	4.333646	4.577951
ENSG00000113140	7.396567	6.359712
ENSG00000177556	4.642030	5.397919
ENSG00000145907	5.585286	5.354803
ENSG00000155511	6.532853	5.606903
ENSG00000055147	3.424690	4.040819
ENSG00000037749	2.560006	3.901120
ENSG00000164574	4.207570	4.222246
ENSG00000164576	5.625683	4.279966
ENSG00000155506	7.501958	4.245621
ENSG00000170271	5.285997	5.554919
ENSG00000155508	5.283717	4.830432
ENSG00000082516	3.882003	4.036005
ENSG00000082515	3.606515	4.536307
ENSG00000170624	3.419141	4.452356
ENSG00000135077	2.331544	4.872108
ENSG00000155868	3.192857	3.858920
ENSG00000055163	8.207839	6.716304
ENSG00000172568	3.376930	5.925017
ENSG00000135074	3.503176	3.071061
ENSG00000113272	2.315880	2.883558
ENSG00000155858	4.597198	4.782853
ENSG00000113282	4.989651	5.129577
ENSG00000164330	2.089831	2.102308
ENSG00000145860	5.744489	5.309351
ENSG00000164332	5.220925	3.986568
ENSG00000170214	3.080686	3.966707
ENSG00000113312	6.021063	5.534189
ENSG00000170234	3.890588	4.919236
ENSG00000170231	2.622529	5.376192
ENSG00000221886	2.834906	4.050120
ENSG00000164609	5.983240	2.897218
ENSG00000164611	2.125360	2.817991
ENSG00000118322	2.961365	5.492770
ENSG00000145864	7.013302	3.870029
ENSG00000022355	7.152903	4.598819
ENSG00000113327	6.767667	3.790266
ENSG00000113328	4.838777	4.368116
ENSG00000170584	4.557407	4.596084
ENSG00000038274	5.909385	3.603072
ENSG00000145934	5.048571	4.784212
ENSG00000113645	5.970210	5.562029
ENSG00000113643	4.520877	4.086868
ENSG00000188573	4.732823	5.105998
ENSG00000120137	5.692304	4.878213
ENSG00000184347	4.066878	4.594671
ENSG00000040275	2.862446	3.808590
ENSG00000043462	3.386116	3.103619
ENSG00000182132	4.612147	2.583242
ENSG00000181163	7.069046	5.934021
ENSG00000072803	6.566120	5.283059
ENSG00000072786	3.043779	4.067969
ENSG00000168246	3.700025	4.156695
ENSG00000174705	4.231651	5.120474
ENSG00000214357	4.503114	4.341975
ENSG00000120129	5.918135	5.482765
ENSG00000113719	5.770434	4.944358
ENSG00000037241	3.389133	3.464292
ENSG00000113732	4.996520	5.602187
ENSG00000164463	4.931503	4.979187
ENSG00000113734	2.993702	4.199845
ENSG00000145919	4.718157	5.807694
ENSG00000113742	6.101288	7.314829
ENSG00000170091	7.886263	6.749817
ENSG00000249306	2.118365	4.055203
ENSG00000184845	3.385006	4.291006
ENSG00000164466	5.828518	4.601782
ENSG00000113749	5.019887	4.679415
ENSG00000145920	9.843528	6.782218
ENSG00000051596	3.004168	3.410756
ENSG00000248469	2.268483	3.457833
ENSG00000182230	5.056970	4.270892
ENSG00000170085	3.440389	4.663259
ENSG00000122203	6.865081	5.489576
ENSG00000175414	4.735502	4.737072
ENSG00000048162	2.836836	5.191148
ENSG00000146066	4.884196	5.165672
ENSG00000175416	6.940892	6.457877
ENSG00000113194	5.221140	4.790966
ENSG00000146083	6.043008	5.513525
ENSG00000169258	5.395358	5.641878
ENSG00000074317	8.819178	7.889960
ENSG00000175766	2.728606	7.909275
ENSG00000048140	5.173434	4.439655
ENSG00000113763	6.691820	5.626934
ENSG00000087206	3.854934	4.738101
ENSG00000113761	3.814596	5.017085
ENSG00000165671	5.546139	4.685446
ENSG00000169228	5.325291	5.679082
ENSG00000169230	4.239832	5.424420
ENSG00000169223	5.081147	5.167403
ENSG00000169220	4.617311	4.417370
ENSG00000131187	2.185782	3.814521
ENSG00000198055	4.760858	4.293413
ENSG00000131188	3.706637	5.294830
ENSG00000113758	6.844727	5.600224
ENSG00000196923	4.340326	4.744997
ENSG00000146094	2.861491	4.110890
ENSG00000183258	6.052891	5.106407
ENSG00000146067	5.416331	5.118830
ENSG00000184840	5.536867	4.701359
ENSG00000027847	4.161843	4.374004
ENSG00000170074	4.133060	4.001519
ENSG00000170089	2.962239	3.196132
ENSG00000204677	3.309532	4.379116
ENSG00000218227	2.894896	2.686497
ENSG00000145911	3.797549	4.040882
ENSG00000145916	5.272968	4.109929
ENSG00000145912	4.850492	4.982823
ENSG00000197451	5.064964	6.010427
ENSG00000175309	3.742577	4.110783
ENSG00000050767	3.335606	2.582029
ENSG00000113240	4.864085	4.722822
ENSG00000169131	3.547808	3.123745
ENSG00000178338	2.786481	3.365494
ENSG00000198939	2.550983	3.782678
ENSG00000177932	2.070758	2.890530
ENSG00000087116	2.686818	4.279692
ENSG00000176783	4.653197	4.749167
ENSG00000169045	6.747870	3.767565
ENSG00000127022	8.254751	4.431270
ENSG00000161021	4.559481	4.920989
ENSG00000161013	5.607767	5.705991
ENSG00000161011	6.581790	5.461382
ENSG00000161010	4.750179	3.413581
ENSG00000197226	7.431808	5.467390
ENSG00000113269	6.589793	5.249649
ENSG00000146090	3.376943	5.175949
ENSG00000050748	7.263363	5.301542
ENSG00000131459	4.357687	3.997414
ENSG00000113300	4.565670	5.008400
ENSG00000037280	2.366734	2.795604
ENSG00000131446	5.872760	4.268105
ENSG00000278970	4.332320	3.894331
ENSG00000245060	3.703572	4.376958
ENSG00000196670	4.077850	3.794050
ENSG00000165810	4.403873	3.291099
ENSG00000146054	2.224143	2.863029
ENSG00000146063	5.996555	4.833665
ENSG00000204628	7.515513	5.731443
ENSG00000183718	4.576352	4.769973
ENSG00000248275	2.749685	4.879401
ENSG00000112679	5.318153	4.369661
ENSG00000112685	4.876569	4.044974
ENSG00000164379	2.328561	3.093508
ENSG00000137273	2.571838	2.259017
ENSG00000054598	2.754426	3.120260
ENSG00000112699	2.887405	3.400693
ENSG00000145949	2.010351	3.801362
ENSG00000124535	5.476959	5.165501
ENSG00000021355	3.383584	3.761594
ENSG00000170542	4.056224	3.799605
ENSG00000124570	5.542489	4.809387
ENSG00000244041	2.526841	6.440742
ENSG00000124588	5.931893	6.753360
ENSG00000137275	3.948751	4.084997
ENSG00000137274	2.920569	4.020996
ENSG00000137267	7.603880	6.394855
ENSG00000137285	7.407420	5.931204
ENSG00000180822	3.470913	5.767182
ENSG00000137266	5.065358	5.654625
ENSG00000168994	3.886093	4.696192
ENSG00000145945	4.323550	4.615746
ENSG00000112739	5.488022	5.213929
ENSG00000198721	4.480181	4.637301
ENSG00000153046	3.605212	4.464143
ENSG00000124787	2.149803	2.907257
ENSG00000219607	2.879666	3.775776
ENSG00000214113	4.655969	3.997839
ENSG00000145982	2.813354	4.332023
ENSG00000124785	7.386260	5.079142
ENSG00000124491	2.183004	3.032650
ENSG00000216863	3.250012	5.962581
ENSG00000124782	2.533586	3.792954
ENSG00000124783	5.900994	3.332341
ENSG00000124784	3.502121	3.450272
ENSG00000096696	2.275443	2.847838
ENSG00000168566	3.431218	3.946183
ENSG00000153162	2.067821	3.278584
ENSG00000239264	4.909751	4.209573
ENSG00000188428	2.553489	3.352296
ENSG00000124802	3.898266	4.111495
ENSG00000124786	3.498754	3.772839
ENSG00000111845	3.597279	3.967169
ENSG00000111843	5.543441	5.136712
ENSG00000137210	5.049656	5.105520
ENSG00000197977	4.371655	4.635279
ENSG00000224531	6.020620	4.983705
ENSG00000111859	4.114850	3.110827
ENSG00000205269	5.615599	5.686686
ENSG00000095951	4.431756	3.462154
ENSG00000078401	3.220605	3.376269
ENSG00000112137	6.342591	6.915167
ENSG00000145979	3.628808	4.249558
ENSG00000145990	6.521148	5.773618
ENSG00000124523	4.769485	4.478320
ENSG00000225921	5.091502	5.194009
ENSG00000010017	6.071471	5.450386
ENSG00000050393	5.537985	3.926530
ENSG00000180537	4.584872	4.784832
ENSG00000112149	4.718379	4.621681
ENSG00000008083	4.585827	4.502334
ENSG00000047579	4.805934	3.983537
ENSG00000007944	3.714396	4.356620
ENSG00000137198	3.158573	3.649437
ENSG00000124788	6.361195	5.583961
ENSG00000272341	3.248528	3.971724
ENSG00000112183	3.172608	3.790494
ENSG00000112186	7.243231	7.615204
ENSG00000137414	5.611401	5.099471
ENSG00000124789	4.635224	4.625458
ENSG00000137177	5.204706	5.386913
ENSG00000187566	2.175820	3.676969
ENSG00000137364	5.181682	4.264522
ENSG00000165097	4.149674	4.633145
ENSG00000124795	5.181948	4.352484
ENSG00000137393	3.366857	3.717408
ENSG00000172201	5.367046	4.921447
ENSG00000112242	4.115289	4.008815
ENSG00000145996	2.498025	3.572980
ENSG00000124766	3.308474	3.434283
ENSG00000272168	3.830767	3.911246
ENSG00000152954	6.746756	5.823608
ENSG00000124532	4.613121	5.050246
ENSG00000112293	2.352583	5.426191
ENSG00000112294	6.695316	5.435986
ENSG00000137261	5.424077	5.443475
ENSG00000111802	5.226948	4.778376
ENSG00000112304	4.333838	4.921583
ENSG00000112308	6.990803	4.725407
ENSG00000112312	3.219524	4.934296
ENSG00000111913	4.757281	3.326495
ENSG00000168405	2.525046	3.732300
ENSG00000079691	4.756161	5.080298
ENSG00000112343	2.025241	2.609236
ENSG00000272462	3.210852	3.860285
ENSG00000187837	2.511391	5.174858
ENSG00000180573	3.457521	4.500422
ENSG00000186470	3.043467	3.252021
ENSG00000124508	2.252963	3.726320
ENSG00000026950	3.426889	3.610675
ENSG00000111801	3.238756	3.565206
ENSG00000112763	4.579749	4.610175
ENSG00000228223	2.635064	3.649335
ENSG00000182952	4.019596	4.072282
ENSG00000146109	3.582856	4.265242
ENSG00000181315	2.301100	3.976951
ENSG00000112812	2.125051	3.020338
ENSG00000204789	5.437536	2.452695
ENSG00000124613	3.202507	3.757513
ENSG00000096654	3.826647	3.498011
ENSG00000269293	3.453060	4.511301
ENSG00000198315	4.246988	3.726663
ENSG00000137185	2.771264	3.855053
ENSG00000197062	4.165484	4.351305
ENSG00000137338	3.499901	3.385874
ENSG00000235109	3.261306	4.135679
ENSG00000189298	2.105149	4.179208
ENSG00000158691	2.584418	2.521452
ENSG00000204713	5.083628	3.778612
ENSG00000204681	8.922962	5.319662
ENSG00000204655	5.825365	6.294741
ENSG00000204642	3.288190	3.867262
ENSG00000206503	6.600048	4.900719
ENSG00000204623	3.326035	4.140407
ENSG00000066379	2.122594	4.258834
ENSG00000204619	5.865255	4.445712
ENSG00000234127	4.857837	5.177242
ENSG00000243753	2.362524	4.401716
ENSG00000280128	4.779635	2.559292
ENSG00000231074	4.344231	4.841647
ENSG00000204599	3.608619	4.431927
ENSG00000241370	3.822697	4.344535
ENSG00000204592	7.208880	4.540079
ENSG00000204590	7.138272	4.891075
ENSG00000204576	4.288834	4.924292
ENSG00000204574	5.314262	5.039846
ENSG00000204569	5.556294	5.779742
ENSG00000204568	4.959754	6.098569
ENSG00000137343	5.304191	4.984790
ENSG00000204564	5.274909	6.529617
ENSG00000204560	4.374693	4.694170
ENSG00000146112	3.992966	5.070505
ENSG00000137337	4.473469	4.335037
ENSG00000196230	7.854730	4.248178
ENSG00000137312	7.770845	6.426488
ENSG00000137331	2.120339	4.823225
ENSG00000204580	6.906836	4.605472
ENSG00000213780	3.789052	3.953615
ENSG00000137411	5.551429	4.150229
ENSG00000204536	4.025579	4.042742
ENSG00000272501	3.259309	4.228050
ENSG00000204525	6.554016	3.826488
ENSG00000234745	6.654706	4.007687
ENSG00000204520	2.611877	3.857662
ENSG00000198563	6.529757	5.069884
ENSG00000213760	8.025539	5.059966
ENSG00000204498	3.927040	6.745892
ENSG00000204472	2.343364	4.235247
ENSG00000204469	8.033760	6.887415
ENSG00000204463	7.065861	5.214765
ENSG00000204439	3.146846	4.387270
ENSG00000204438	3.666930	5.726631
ENSG00000204435	6.052547	4.306126
ENSG00000240053	4.084609	4.201782
ENSG00000204427	5.354624	4.840260
ENSG00000213722	4.778461	3.473350
ENSG00000213719	3.746711	4.179911
ENSG00000204410	2.060651	4.557165
ENSG00000204396	3.376760	5.097770
ENSG00000204394	5.379552	5.210308
ENSG00000204392	3.752366	4.462401
ENSG00000204390	2.583046	5.878057
ENSG00000204389	6.067506	6.928197
ENSG00000204388	6.036251	7.118649
ENSG00000204387	5.720490	5.758985
ENSG00000204386	4.776536	4.700289
ENSG00000204371	6.646687	5.064242
ENSG00000204366	2.059879	4.586321
ENSG00000243649	2.486584	4.172382
ENSG00000204356	5.088480	4.858806
ENSG00000204351	5.167873	5.087517
ENSG00000204348	3.851321	4.301662
ENSG00000204344	3.227151	4.332113
ENSG00000244731	2.066915	3.972255
ENSG00000168477	3.975672	2.980431
ENSG00000213676	5.558163	4.631338
ENSG00000204315	2.122043	3.946327
ENSG00000204314	6.514564	6.075638
ENSG00000221988	4.126733	6.160799
ENSG00000241404	3.481484	3.982484
ENSG00000204310	6.659853	5.267614
ENSG00000204308	5.128193	4.738599
ENSG00000204304	5.258066	4.905740
ENSG00000213654	2.211030	5.148346
ENSG00000204301	4.515828	3.655139
ENSG00000204287	4.125986	4.225472
ENSG00000198502	2.022137	3.116629
ENSG00000196126	3.891130	3.410782
ENSG00000179344	2.215774	4.004546
ENSG00000204267	4.642307	3.476123
ENSG00000204264	3.193306	2.872243
ENSG00000240065	2.245848	2.787435
ENSG00000168394	3.821522	2.872084
ENSG00000204257	2.467403	5.793727
ENSG00000204256	7.204051	5.384496
ENSG00000231389	3.743427	2.748814
ENSG00000223865	3.288444	4.065427
ENSG00000204248	4.030708	3.584194
ENSG00000204231	5.751322	4.472890
ENSG00000112473	5.358176	4.416402
ENSG00000204228	2.422862	3.408318
ENSG00000204227	5.474054	5.132695
ENSG00000223501	5.021567	6.568633
ENSG00000231500	8.074425	6.628446
ENSG00000235863	2.430511	3.697626
ENSG00000227057	4.490791	4.153034
ENSG00000204220	4.892984	4.283307
ENSG00000237441	5.210335	4.381780
ENSG00000231925	6.425524	5.585530
ENSG00000236104	4.548532	4.578440
ENSG00000204209	4.994919	4.945790
ENSG00000112511	6.416226	4.672639
ENSG00000112514	6.324790	6.125461
ENSG00000197283	6.433590	6.209442
ENSG00000030110	2.991497	4.079518
ENSG00000096433	4.235211	4.399797
ENSG00000137288	4.404982	4.753092
ENSG00000161904	5.115462	4.809355
ENSG00000124493	3.051780	4.501494
ENSG00000137309	5.732736	6.801547
ENSG00000186577	5.818072	5.349224
ENSG00000272325	7.375197	7.469860
ENSG00000124614	7.443306	7.125794
ENSG00000124507	9.049224	6.142039
ENSG00000196821	7.301012	5.057094
ENSG00000124562	4.822191	4.641650
ENSG00000065060	4.025455	4.340057
ENSG00000064995	4.298925	4.335021
ENSG00000064999	5.569978	4.767506
ENSG00000065029	4.796086	4.697270
ENSG00000023892	2.033645	3.278959
ENSG00000112033	6.054482	5.111889
ENSG00000198755	7.316923	6.055238
ENSG00000007866	2.152201	3.176749
ENSG00000096060	4.958439	6.149790
ENSG00000096063	4.875603	4.776559
ENSG00000112053	2.607262	5.086989
ENSG00000112062	5.165392	5.063045
ENSG00000156711	4.435581	4.432292
ENSG00000096070	5.493550	5.301058
ENSG00000112078	5.668255	5.231163
ENSG00000112079	4.280734	4.144957
ENSG00000112081	6.560773	6.498143
ENSG00000124762	4.391450	4.538175
ENSG00000124772	6.205473	6.154743
ENSG00000137168	4.535222	4.462297
ENSG00000198663	6.579296	4.720069
ENSG00000164530	2.566144	5.262194
ENSG00000137409	8.536414	6.356538
ENSG00000137193	3.671372	4.914275
ENSG00000065491	4.014419	4.216631
ENSG00000112130	4.719811	4.422176
ENSG00000137200	5.573308	4.800368
ENSG00000198937	2.788860	4.079006
ENSG00000112139	4.095920	4.507223
ENSG00000156639	5.868453	5.995064
ENSG00000183826	5.997615	4.429549
ENSG00000124767	6.648127	4.957502
ENSG00000112167	3.255687	3.405098
ENSG00000164627	2.291664	3.385768
ENSG00000146122	6.691512	3.905142
ENSG00000235033	2.039080	3.208946
ENSG00000124615	4.393754	4.202621
ENSG00000156564	3.613413	5.554205
ENSG00000124596	4.218272	4.298308
ENSG00000001167	4.171521	4.242710
ENSG00000161912	2.657041	3.915097
ENSG00000137166	4.959149	3.720826
ENSG00000112561	3.756986	4.903448
ENSG00000137218	4.971609	4.372570
ENSG00000214736	5.601986	5.015660
ENSG00000164663	3.966943	3.534654
ENSG00000124641	3.070932	4.014680
ENSG00000112578	2.938179	4.397833
ENSG00000112576	6.181707	5.006263
ENSG00000137413	3.842443	4.184841
ENSG00000048544	4.770446	4.931072
ENSG00000124496	3.966893	4.148698
ENSG00000024048	5.216725	4.426972
ENSG00000112619	2.333320	3.811410
ENSG00000124659	4.274763	4.628082
ENSG00000112624	4.568956	4.490496
ENSG00000146223	6.417004	5.082050
ENSG00000221821	2.374571	3.521146
ENSG00000137161	4.954990	5.276378
ENSG00000124587	5.244752	4.676020
ENSG00000112640	6.128789	5.436715
ENSG00000124733	5.511320	5.114783
ENSG00000124702	7.972086	6.822285
ENSG00000124541	4.200441	5.755377
ENSG00000044090	4.528044	4.138572
ENSG00000137171	4.907567	3.636268
ENSG00000112651	4.533674	5.052081
ENSG00000112655	3.057354	3.817118
ENSG00000112658	5.427586	4.834908
ENSG00000112659	5.563137	4.126909
ENSG00000112667	4.468939	4.294748
ENSG00000146216	5.872063	5.983476
ENSG00000171467	4.528972	4.901731
ENSG00000124574	4.332791	4.937051
ENSG00000171462	2.534350	4.838461
ENSG00000137221	4.875924	4.995366
ENSG00000204052	3.692775	4.590327
ENSG00000171453	3.365855	4.864065
ENSG00000137207	6.111525	5.327540
ENSG00000124571	4.499379	4.048012
ENSG00000170734	2.243256	4.339947
ENSG00000172432	4.735045	4.847226
ENSG00000124688	3.545783	4.662094
ENSG00000096080	3.420736	4.659737
ENSG00000112715	5.080806	5.293444
ENSG00000180992	3.728840	5.186845
ENSG00000137216	5.794255	4.580085
ENSG00000112759	4.856802	3.818322
ENSG00000096384	10.070887	6.534659
ENSG00000157593	4.290227	5.266364
ENSG00000146232	3.360110	4.547570
ENSG00000178233	6.994890	7.639125
ENSG00000124608	4.237187	3.987561
ENSG00000096401	5.202395	4.501004
ENSG00000196284	2.524410	4.219484
ENSG00000112782	2.815356	3.493420
ENSG00000001561	5.013962	4.829341
ENSG00000112796	4.775546	4.587878
ENSG00000172348	7.573229	5.890283
ENSG00000153291	5.682883	3.637846
ENSG00000180113	2.513830	4.211678
ENSG00000069122	5.063061	3.674817
ENSG00000146072	5.701697	5.814036
ENSG00000198087	3.232879	3.413743
ENSG00000146085	5.210240	2.959698
ENSG00000031691	2.194422	3.495955
ENSG00000112118	4.276201	3.205985
ENSG00000170915	6.728912	5.308249
ENSG00000096093	4.064357	5.957876
ENSG00000065308	3.364387	3.527981
ENSG00000225791	3.015227	3.740870
ENSG00000096092	5.479501	5.453717
ENSG00000170899	5.536622	5.265126
ENSG00000112144	4.104121	4.517589
ENSG00000112146	6.252970	3.836118
ENSG00000012660	5.832027	6.094143
ENSG00000001084	4.924325	3.538167
ENSG00000137269	2.697696	3.972905
ENSG00000146147	3.509287	3.978853
ENSG00000146151	3.661627	4.455719
ENSG00000124749	2.156050	3.917089
ENSG00000151914	8.465766	6.465633
ENSG00000151917	5.577842	6.396268
ENSG00000168116	2.640364	4.312484
ENSG00000112200	4.727622	4.196380
ENSG00000112208	2.998081	3.703428
ENSG00000112210	2.508060	3.850113
ENSG00000272316	2.036690	2.971482
ENSG00000215190	3.059406	3.688188
ENSG00000112232	2.470562	4.280482
ENSG00000112245	6.109132	3.485374
ENSG00000118482	5.324440	4.535166
ENSG00000230910	5.173840	6.558259
ENSG00000135298	5.714075	6.581218
ENSG00000168216	5.895832	3.465050
ENSG00000112280	3.626965	4.188378
ENSG00000082269	4.103992	4.109966
ENSG00000154079	3.659383	4.068623
ENSG00000112305	3.045102	5.555440
ENSG00000112309	3.898947	4.083750
ENSG00000119900	6.333804	5.982296
ENSG00000079841	6.686109	5.990114
ENSG00000185760	6.062458	4.077809
ENSG00000135314	3.554033	2.793817
ENSG00000229852	2.638446	4.249978
ENSG00000234882	2.060253	4.310613
ENSG00000135297	3.911514	4.309620
ENSG00000156508	10.276989	4.994932
ENSG00000119899	3.941878	4.527757
ENSG00000156535	2.534248	3.175751
ENSG00000111799	3.928464	3.072682
ENSG00000112695	6.504705	3.513924
ENSG00000112697	7.618982	5.627884
ENSG00000118407	2.358665	3.083269
ENSG00000112701	5.711035	5.344052
ENSG00000196586	6.066663	4.783877
ENSG00000146247	4.834013	4.864191
ENSG00000118418	5.427555	4.461367
ENSG00000135338	3.394387	5.093969
ENSG00000198478	6.163512	5.276425
ENSG00000118402	4.814979	5.588605
ENSG00000083123	4.199232	4.186574
ENSG00000005700	5.099412	4.913047
ENSG00000146242	4.013839	3.844294
ENSG00000118420	2.492533	3.515663
ENSG00000083097	5.195491	4.343315
ENSG00000013375	4.385940	4.120681
ENSG00000013392	4.228065	4.615976
ENSG00000065833	5.064777	5.115284
ENSG00000146250	2.140064	3.193560
ENSG00000065609	7.729451	5.244771
ENSG00000203877	2.669101	4.372592
ENSG00000065615	3.370794	3.763055
ENSG00000135324	4.201741	4.267163
ENSG00000135315	2.875853	2.937027
ENSG00000135318	4.058927	3.333709
ENSG00000135317	5.372268	4.157544
ENSG00000135316	5.949924	4.442752
ENSG00000203875	4.221564	5.242360
ENSG00000220563	2.263947	3.897004
ENSG00000168830	2.292289	4.416577
ENSG00000188994	4.754281	4.623373
ENSG00000111850	3.767730	3.308674
ENSG00000164414	4.711192	4.541073
ENSG00000146282	3.561912	4.707278
ENSG00000135336	4.596703	4.510264
ENSG00000135334	5.243962	5.816206
ENSG00000118432	5.409284	4.582663
ENSG00000111880	4.030775	3.504709
ENSG00000146278	5.281846	6.791592
ENSG00000154548	3.485577	4.238235
ENSG00000146281	3.431059	2.898508
ENSG00000198833	5.086169	4.792268
ENSG00000025039	5.022341	6.010332
ENSG00000135299	3.637306	4.151759
ENSG00000083099	5.037135	3.294384
ENSG00000112159	5.952345	4.228731
ENSG00000118412	3.580727	3.417038
ENSG00000112182	2.709804	4.383169
ENSG00000135341	5.243259	4.776473
